  SCF Step    1                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  0.1500     2.4990     0.7066                                                                      
  0.2000     2.0389     1.0249                                                                      
  0.2500     1.6787     1.3184                                                                      
  0.3000     1.3820     1.5630                                                                      
  0.3500     1.1339     1.7454                                                                      
  0.4000     0.9292     1.8683                                                                      
  0.4500     0.7628     1.9412                                                                      
  0.5000     0.6281     1.9732                                                                      
  0.5500     0.5185     1.9711                                                                      
  0.6000     0.4288     1.9400                                                                      
  0.6500     0.3550     1.8846                                                                      
  0.7000     0.2939     1.8095                                                                      
  0.7500     0.2433     1.7199                                                                      
  0.8000     0.2015     1.6206                                                                      
  0.8500     0.1670     1.5161                                                                      
  0.9000     0.1385     1.4100                                                                      
  0.9500     0.1150     1.3048                                                                      
  1.0000     0.0957     1.2024                                                                      
  1.0500     0.0797     1.1040                                                                      
  1.1000     0.0664     1.0103                                                                      
  1.1500     0.0555     0.9216                                                                      
  1.2000     0.0463     0.8382                                                                      
  1.2500     0.0387     0.7601                                                                      
  1.3000     0.0324     0.6874                                                                      
  1.3500     0.0271     0.6199                                                                      
  1.4000     0.0226     0.5577                                                                      
  1.4500     0.0189     0.5005                                                                      
  1.5000     0.0159     0.4483                                                                      
  1.5500     0.0133     0.4007                                                                      
  1.6000     0.0111     0.3576                                                                      
  1.6500     0.0093     0.3187                                                                      
  1.7000     0.0078     0.2837                                                                      
  1.7500     0.0066     0.2522                                                                      
  1.8000     0.0055     0.2241                                                                      
  1.8500     0.0046     0.1989                                                                      
  1.9000     0.0039     0.1764                                                                      
  1.9500     0.0033     0.1564                                                                      
  2.0000     0.0028     0.1385                                                                      
  2.0500     0.0023     0.1226                                                                      
  2.1000     0.0020     0.1085                                                                      
  2.1500     0.0017     0.0959                                                                      
  2.2000     0.0014     0.0847                                                                      
  2.2500     0.0012     0.0748                                                                      
  2.3000     0.0010     0.0660                                                                      
  2.3500     0.0008     0.0581                                                                      
  2.4000     0.0007     0.0512                                                                      
  2.4500     0.0006     0.0450                                                                      
  2.5000     0.0005     0.0396                                                                      
  2.5500     0.0004     0.0348                                                                      
  2.6000     0.0004     0.0305                                                                      
  2.6500     0.0003     0.0267                                                                      
  2.7000     0.0003     0.0234                                                                      
  2.7500     0.0002     0.0205                                                                      
  2.8000     0.0002     0.0180                                                                      
  2.8500     0.0002     0.0157                                                                      
  2.9000     0.0001     0.0137                                                                      
  2.9500     0.0001     0.0120                                                                      
  3.0000     0.0001     0.0105                                                                      
  3.0500     0.0001     0.0091                                                                      
  3.1000     0.0001     0.0080                                                                      
  3.1500     0.0001     0.0070                                                                      
  3.2000     0.0000     0.0061                                                                      
  3.2500     0.0000     0.0053                                                                      
  3.3000     0.0000     0.0046                                                                      
  3.3500     0.0000     0.0040                                                                      
  3.4000     0.0000     0.0035                                                                      
  3.4500     0.0000     0.0031                                                                      
  3.5000     0.0000     0.0027                                                                      
  3.5500     0.0000     0.0023                                                                      
  3.6000     0.0000     0.0020                                                                      
  3.6500     0.0000     0.0018                                                                      
  3.7000     0.0000     0.0016                                                                      
       NPOINTS =       75                                                                           
Nelec (numeric) =   1.99761901                                                                      

  SCF Step    4                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  0.0500     3.6310     0.1141                                                                      
  0.1000     3.0625     0.3848                                                                      
  0.1500     2.4866     0.7031                                                                      
  0.2000     2.0290     1.0199                                                                      
  0.2500     1.6708     1.3123                                                                      
  0.3000     1.3758     1.5560                                                                      
  0.3500     1.1291     1.7381                                                                      
  0.4000     0.9256     1.8611                                                                      
  0.4500     0.7601     1.9343                                                                      
  0.5000     0.6261     1.9668                                                                      
  0.5500     0.5171     1.9655                                                                      
  0.6000     0.4278     1.9353                                                                      
  0.6500     0.3542     1.8807                                                                      
  0.7000     0.2934     1.8066                                                                      
  0.7500     0.2430     1.7179                                                                      
  0.8000     0.2014     1.6195                                                                      
  0.8500     0.1670     1.5158                                                                      
  0.9000     0.1386     1.4104                                                                      
  0.9500     0.1151     1.3058                                                                      
  1.0000     0.0958     1.2039                                                                      
  1.0500     0.0798     1.1060                                                                      
  1.1000     0.0666     1.0126                                                                      
  1.1500     0.0556     0.9242                                                                      
  1.2000     0.0465     0.8409                                                                      
  1.2500     0.0389     0.7630                                                                      
  1.3000     0.0325     0.6903                                                                      
  1.3500     0.0272     0.6229                                                                      
  1.4000     0.0228     0.5607                                                                      
  1.4500     0.0191     0.5035                                                                      
  1.5000     0.0160     0.4512                                                                      
  1.5500     0.0134     0.4036                                                                      
  1.6000     0.0112     0.3604                                                                      
  1.6500     0.0094     0.3214                                                                      
  1.7000     0.0079     0.2862                                                                      
  1.7500     0.0066     0.2546                                                                      
  1.8000     0.0056     0.2264                                                                      
  1.8500     0.0047     0.2011                                                                      
  1.9000     0.0039     0.1784                                                                      
  1.9500     0.0033     0.1583                                                                      
  2.0000     0.0028     0.1403                                                                      
  2.0500     0.0024     0.1243                                                                      
  2.1000     0.0020     0.1100                                                                      
  2.1500     0.0017     0.0973                                                                      
  2.2000     0.0014     0.0860                                                                      
  2.2500     0.0012     0.0760                                                                      
  2.3000     0.0010     0.0671                                                                      
  2.3500     0.0009     0.0591                                                                      
  2.4000     0.0007     0.0521                                                                      
  2.4500     0.0006     0.0459                                                                      
  2.5000     0.0005     0.0403                                                                      
  2.5500     0.0004     0.0355                                                                      
  2.6000     0.0004     0.0311                                                                      
  2.6500     0.0003     0.0273                                                                      
  2.7000     0.0003     0.0240                                                                      
  2.7500     0.0002     0.0210                                                                      
  2.8000     0.0002     0.0184                                                                      
  2.8500     0.0002     0.0161                                                                      
  2.9000     0.0001     0.0141                                                                      
  2.9500     0.0001     0.0123                                                                      
  3.0000     0.0001     0.0108                                                                      
  3.0500     0.0001     0.0094                                                                      
  3.1000     0.0001     0.0082                                                                      
  3.1500     0.0001     0.0072                                                                      
  3.2000     0.0000     0.0063                                                                      
  3.2500     0.0000     0.0055                                                                      
  3.3000     0.0000     0.0048                                                                      
  3.3500     0.0000     0.0042                                                                      
  3.4000     0.0000     0.0036                                                                      
  3.4500     0.0000     0.0032                                                                      
  3.5000     0.0000     0.0028                                                                      
  3.5500     0.0000     0.0024                                                                      
  3.6000     0.0000     0.0021                                                                      
  3.6500     0.0000     0.0018                                                                      
  3.7000     0.0000     0.0016                                                                      
       NPOINTS =       75                                                                           
Nelec (numeric) =   1.99761071                                                                      

  SCF Step    5                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  0.0500     3.6344     0.1142                                                                      
  0.1000     3.0653     0.3852                                                                      
  0.1500     2.4888     0.7037                                                                      
  0.2000     2.0308     1.0208                                                                      
  0.2500     1.6722     1.3134                                                                      
  0.3000     1.3769     1.5573                                                                      
  0.3500     1.1300     1.7394                                                                      
  0.4000     0.9263     1.8624                                                                      
  0.4500     0.7606     1.9355                                                                      
  0.5000     0.6264     1.9679                                                                      
  0.5500     0.5173     1.9665                                                                      
  0.6000     0.4280     1.9361                                                                      
  0.6500     0.3544     1.8814                                                                      
  0.7000     0.2935     1.8071                                                                      
  0.7500     0.2431     1.7182                                                                      
  0.8000     0.2014     1.6197                                                                      
  0.8500     0.1670     1.5158                                                                      
  0.9000     0.1386     1.4103                                                                      
  0.9500     0.1151     1.3056                                                                      
  1.0000     0.0958     1.2036                                                                      
  1.0500     0.0798     1.1056                                                                      
  1.1000     0.0666     1.0122                                                                      
  1.1500     0.0556     0.9237                                                                      
  1.2000     0.0464     0.8405                                                                      
  1.2500     0.0388     0.7625                                                                      
  1.3000     0.0325     0.6898                                                                      
  1.3500     0.0272     0.6224                                                                      
  1.4000     0.0227     0.5602                                                                      
  1.4500     0.0190     0.5030                                                                      
  1.5000     0.0159     0.4507                                                                      
  1.5500     0.0134     0.4031                                                                      
  1.6000     0.0112     0.3599                                                                      
  1.6500     0.0094     0.3209                                                                      
  1.7000     0.0079     0.2858                                                                      
  1.7500     0.0066     0.2542                                                                      
  1.8000     0.0055     0.2260                                                                      
  1.8500     0.0047     0.2007                                                                      
  1.9000     0.0039     0.1781                                                                      
  1.9500     0.0033     0.1579                                                                      
  2.0000     0.0028     0.1400                                                                      
  2.0500     0.0023     0.1240                                                                      
  2.1000     0.0020     0.1098                                                                      
  2.1500     0.0017     0.0971                                                                      
  2.2000     0.0014     0.0858                                                                      
  2.2500     0.0012     0.0758                                                                      
  2.3000     0.0010     0.0669                                                                      
  2.3500     0.0008     0.0590                                                                      
  2.4000     0.0007     0.0519                                                                      
  2.4500     0.0006     0.0457                                                                      
  2.5000     0.0005     0.0402                                                                      
  2.5500     0.0004     0.0353                                                                      
  2.6000     0.0004     0.0310                                                                      
  2.6500     0.0003     0.0272                                                                      
  2.7000     0.0003     0.0239                                                                      
  2.7500     0.0002     0.0209                                                                      
  2.8000     0.0002     0.0183                                                                      
  2.8500     0.0002     0.0160                                                                      
  2.9000     0.0001     0.0140                                                                      
  2.9500     0.0001     0.0122                                                                      
  3.0000     0.0001     0.0107                                                                      
  3.0500     0.0001     0.0094                                                                      
  3.1000     0.0001     0.0082                                                                      
  3.1500     0.0001     0.0071                                                                      
  3.2000     0.0000     0.0062                                                                      
  3.2500     0.0000     0.0054                                                                      
  3.3000     0.0000     0.0047                                                                      
  3.3500     0.0000     0.0041                                                                      
  3.4000     0.0000     0.0036                                                                      
  3.4500     0.0000     0.0032                                                                      
  3.5000     0.0000     0.0028                                                                      
  3.5500     0.0000     0.0024                                                                      
  3.6000     0.0000     0.0021                                                                      
  3.6500     0.0000     0.0018                                                                      
  3.7000     0.0000     0.0016                                                                      
       NPOINTS =       75                                                                           
Nelec (numeric) =   1.99761210                                                                      

  SCF Step    6                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  0.0500     3.6338     0.1142                                                                      
  0.1000     3.0648     0.3851                                                                      
  0.1500     2.4884     0.7036                                                                      
  0.2000     2.0305     1.0206                                                                      
  0.2500     1.6720     1.3132                                                                      
  0.3000     1.3767     1.5571                                                                      
  0.3500     1.1298     1.7392                                                                      
  0.4000     0.9262     1.8621                                                                      
  0.4500     0.7605     1.9353                                                                      
  0.5000     0.6263     1.9677                                                                      
  0.5500     0.5173     1.9663                                                                      
  0.6000     0.4279     1.9360                                                                      
  0.6500     0.3543     1.8813                                                                      
  0.7000     0.2935     1.8070                                                                      
  0.7500     0.2431     1.7182                                                                      
  0.8000     0.2014     1.6196                                                                      
  0.8500     0.1670     1.5158                                                                      
  0.9000     0.1386     1.4103                                                                      
  0.9500     0.1151     1.3056                                                                      
  1.0000     0.0958     1.2037                                                                      
  1.0500     0.0798     1.1057                                                                      
  1.1000     0.0666     1.0122                                                                      
  1.1500     0.0556     0.9238                                                                      
  1.2000     0.0464     0.8405                                                                      
  1.2500     0.0388     0.7626                                                                      
  1.3000     0.0325     0.6899                                                                      
  1.3500     0.0272     0.6225                                                                      
  1.4000     0.0227     0.5603                                                                      
  1.4500     0.0190     0.5031                                                                      
  1.5000     0.0159     0.4508                                                                      
  1.5500     0.0134     0.4032                                                                      
  1.6000     0.0112     0.3600                                                                      
  1.6500     0.0094     0.3210                                                                      
  1.7000     0.0079     0.2859                                                                      
  1.7500     0.0066     0.2543                                                                      
  1.8000     0.0056     0.2260                                                                      
  1.8500     0.0047     0.2007                                                                      
  1.9000     0.0039     0.1782                                                                      
  1.9500     0.0033     0.1580                                                                      
  2.0000     0.0028     0.1400                                                                      
  2.0500     0.0023     0.1240                                                                      
  2.1000     0.0020     0.1098                                                                      
  2.1500     0.0017     0.0971                                                                      
  2.2000     0.0014     0.0858                                                                      
  2.2500     0.0012     0.0758                                                                      
  2.3000     0.0010     0.0669                                                                      
  2.3500     0.0009     0.0590                                                                      
  2.4000     0.0007     0.0520                                                                      
  2.4500     0.0006     0.0458                                                                      
  2.5000     0.0005     0.0402                                                                      
  2.5500     0.0004     0.0354                                                                      
  2.6000     0.0004     0.0310                                                                      
  2.6500     0.0003     0.0272                                                                      
  2.7000     0.0003     0.0239                                                                      
  2.7500     0.0002     0.0209                                                                      
  2.8000     0.0002     0.0183                                                                      
  2.8500     0.0002     0.0160                                                                      
  2.9000     0.0001     0.0140                                                                      
