  SCF Step    1                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  3.4000     0.0004     0.0520                                                                      
  3.4500     0.0003     0.0484                                                                      
  3.5000     0.0003     0.0450                                                                      
  3.5500     0.0003     0.0419                                                                      
  3.6000     0.0002     0.0389                                                                      
  3.6500     0.0002     0.0361                                                                      
  3.7000     0.0002     0.0335                                                                      
  3.7500     0.0002     0.0311                                                                      
  3.8000     0.0002     0.0288                                                                      
  3.8500     0.0001     0.0267                                                                      
  3.9000     0.0001     0.0247                                                                      
  3.9500     0.0001     0.0229                                                                      
  4.0000     0.0001     0.0212                                                                      
  4.0500     0.0001     0.0196                                                                      
  4.1000     0.0001     0.0181                                                                      
  4.1500     0.0001     0.0167                                                                      
  4.2000     0.0001     0.0154                                                                      
  4.2500     0.0001     0.0143                                                                      
  4.3000     0.0001     0.0131                                                                      
  4.3500     0.0001     0.0121                                                                      
  4.4000     0.0000     0.0112                                                                      
  4.4500     0.0000     0.0103                                                                      
  4.5000     0.0000     0.0095                                                                      
  4.5500     0.0000     0.0087                                                                      
  4.6000     0.0000     0.0080                                                                      
  4.6500     0.0000     0.0074                                                                      
  4.7000     0.0000     0.0068                                                                      
  4.7500     0.0000     0.0062                                                                      
  4.8000     0.0000     0.0057                                                                      
  4.8500     0.0000     0.0052                                                                      
  4.9000     0.0000     0.0048                                                                      
  4.9500     0.0000     0.0044                                                                      
  5.0000     0.0000     0.0040                                                                      
  5.0500     0.0000     0.0037                                                                      
  5.1000     0.0000     0.0033                                                                      
  5.1500     0.0000     0.0031                                                                      
       NPOINTS =      104                                                                           
Nelec (numeric) =   0.99831637                                                                      

  SCF Step    2                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  0.0500     0.3429     0.0108                                                                      
  0.1000     0.3193     0.0401                                                                      
  0.1500     0.2892     0.0818                                                                      
  0.2000     0.2596     0.1305                                                                      
  0.2500     0.2333     0.1832                                                                      
  0.3000     0.2103     0.2378                                                                      
  0.3500     0.1898     0.2921                                                                      
  0.4000     0.1710     0.3439                                                                      
  0.4500     0.1539     0.3915                                                                      
  0.5000     0.1382     0.4342                                                                      
  0.5500     0.1241     0.4716                                                                      
  0.6000     0.1114     0.5039                                                                      
  0.6500     0.1000     0.5310                                                                      
  0.7000     0.0898     0.5532                                                                      
  0.7500     0.0807     0.5704                                                                      
  0.8000     0.0725     0.5830                                                                      
  0.8500     0.0651     0.5910                                                                      
  0.9000     0.0584     0.5948                                                                      
  0.9500     0.0524     0.5947                                                                      
  1.0000     0.0470     0.5911                                                                      
  1.0500     0.0422     0.5843                                                                      
  1.1000     0.0378     0.5749                                                                      
  1.1500     0.0339     0.5632                                                                      
  1.2000     0.0304     0.5496                                                                      
  1.2500     0.0272     0.5345                                                                      
  1.3000     0.0244     0.5181                                                                      
  1.3500     0.0219     0.5009                                                                      
  1.4000     0.0196     0.4828                                                                      
  1.4500     0.0176     0.4643                                                                      
  1.5000     0.0158     0.4455                                                                      
  1.5500     0.0141     0.4264                                                                      
  1.6000     0.0127     0.4073                                                                      
  1.6500     0.0113     0.3882                                                                      
  1.7000     0.0102     0.3694                                                                      
  1.7500     0.0091     0.3508                                                                      
  1.8000     0.0082     0.3325                                                                      
  1.8500     0.0073     0.3147                                                                      
  1.9000     0.0066     0.2974                                                                      
  1.9500     0.0059     0.2806                                                                      
  2.0000     0.0053     0.2644                                                                      
  2.0500     0.0047     0.2488                                                                      
  2.1000     0.0042     0.2339                                                                      
  2.1500     0.0038     0.2196                                                                      
  2.2000     0.0034     0.2060                                                                      
  2.2500     0.0030     0.1930                                                                      
  2.3000     0.0027     0.1807                                                                      
  2.3500     0.0024     0.1690                                                                      
  2.4000     0.0022     0.1580                                                                      
  2.4500     0.0020     0.1475                                                                      
  2.5000     0.0018     0.1377                                                                      
  2.5500     0.0016     0.1284                                                                      
  2.6000     0.0014     0.1196                                                                      
  2.6500     0.0013     0.1114                                                                      
  2.7000     0.0011     0.1037                                                                      
  2.7500     0.0010     0.0964                                                                      
  2.8000     0.0009     0.0896                                                                      
  2.8500     0.0008     0.0833                                                                      
  2.9000     0.0007     0.0773                                                                      
  2.9500     0.0007     0.0717                                                                      
  3.0000     0.0006     0.0665                                                                      
  3.0500     0.0005     0.0616                                                                      
  3.1000     0.0005     0.0570                                                                      
  3.1500     0.0004     0.0528                                                                      
  3.2000     0.0004     0.0488                                                                      
  3.2500     0.0003     0.0451                                                                      
  3.3000     0.0003     0.0417                                                                      
  3.3500     0.0003     0.0385                                                                      
  3.4000     0.0002     0.0355                                                                      
  3.4500     0.0002     0.0327                                                                      
  3.5000     0.0002     0.0302                                                                      
  3.5500     0.0002     0.0278                                                                      
  3.6000     0.0002     0.0256                                                                      
  3.6500     0.0001     0.0235                                                                      
  3.7000     0.0001     0.0217                                                                      
  3.7500     0.0001     0.0199                                                                      
  3.8000     0.0001     0.0183                                                                      
  3.8500     0.0001     0.0168                                                                      
  3.9000     0.0001     0.0154                                                                      
  3.9500     0.0001     0.0142                                                                      
  4.0000     0.0001     0.0130                                                                      
  4.0500     0.0001     0.0119                                                                      
  4.1000     0.0001     0.0109                                                                      
  4.1500     0.0000     0.0100                                                                      
  4.2000     0.0000     0.0092                                                                      
  4.2500     0.0000     0.0084                                                                      
  4.3000     0.0000     0.0077                                                                      
  4.3500     0.0000     0.0071                                                                      
  4.4000     0.0000     0.0065                                                                      
  4.4500     0.0000     0.0059                                                                      
  4.5000     0.0000     0.0054                                                                      
  4.5500     0.0000     0.0049                                                                      
  4.6000     0.0000     0.0045                                                                      
  4.6500     0.0000     0.0041                                                                      
  4.7000     0.0000     0.0038                                                                      
  4.7500     0.0000     0.0034                                                                      
  4.8000     0.0000     0.0031                                                                      
  4.8500     0.0000     0.0029                                                                      
       NPOINTS =       98                                                                           
Nelec (numeric) =   0.99835383                                                                      

  SCF Step    3                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  0.0500     0.3451     0.0108                                                                      
  0.1000     0.3213     0.0404                                                                      
  0.1500     0.2910     0.0823                                                                      
  0.2000     0.2612     0.1313                                                                      
  0.2500     0.2347     0.1843                                                                      
  0.3000     0.2115     0.2392                                                                      
  0.3500     0.1908     0.2937                                                                      
  0.4000     0.1719     0.3457                                                                      
  0.4500     0.1546     0.3935                                                                      
  0.5000     0.1389     0.4362                                                                      
  0.5500     0.1246     0.4737                                                                      
  0.6000     0.1118     0.5060                                                                      
  0.6500     0.1004     0.5331                                                                      
  0.7000     0.0902     0.5552                                                                      
  0.7500     0.0810     0.5724                                                                      
  0.8000     0.0727     0.5848                                                                      
  0.8500     0.0653     0.5927                                                                      
  0.9000     0.0586     0.5964                                                                      
  0.9500     0.0526     0.5960                                                                      
  1.0000     0.0471     0.5922                                                                      
  1.0500     0.0422     0.5852                                                                      
  1.1000     0.0379     0.5756                                                                      
  1.1500     0.0339     0.5637                                                                      
  1.2000     0.0304     0.5499                                                                      
  1.2500     0.0272     0.5346                                                                      
  1.3000     0.0244     0.5181                                                                      
  1.3500     0.0219     0.5007                                                                      
  1.4000     0.0196     0.4825                                                                      
  1.4500     0.0176     0.4638                                                                      
  1.5000     0.0157     0.4448                                                                      
  1.5500     0.0141     0.4257                                                                      
  1.6000     0.0126     0.4065                                                                      
  1.6500     0.0113     0.3873                                                                      
  1.7000     0.0101     0.3684                                                                      
  1.7500     0.0091     0.3497                                                                      
  1.8000     0.0081     0.3314                                                                      
  1.8500     0.0073     0.3136                                                                      
  1.9000     0.0065     0.2962                                                                      
  1.9500     0.0058     0.2794                                                                      
  2.0000     0.0052     0.2632                                                                      
  2.0500     0.0047     0.2477                                                                      
  2.1000     0.0042     0.2327                                                                      
  2.1500     0.0038     0.2185                                                                      
  2.2000     0.0034     0.2049                                                                      
  2.2500     0.0030     0.1919                                                                      
  2.3000     0.0027     0.1797                                                                      
  2.3500     0.0024     0.1680                                                                      
  2.4000     0.0022     0.1570                                                                      
  2.4500     0.0019     0.1466                                                                      
  2.5000     0.0017     0.1368                                                                      
  2.5500     0.0016     0.1276                                                                      
  2.6000     0.0014     0.1189                                                                      
  2.6500     0.0013     0.1107                                                                      
  2.7000     0.0011     0.1030                                                                      
  2.7500     0.0010     0.0958                                                                      
  2.8000     0.0009     0.0891                                                                      
  2.8500     0.0008     0.0827                                                                      
  2.9000     0.0007     0.0768                                                                      
  2.9500     0.0007     0.0712                                                                      
  3.0000     0.0006     0.0661                                                                      
  3.0500     0.0005     0.0612                                                                      
  3.1000     0.0005     0.0567                                                                      
  3.1500     0.0004     0.0524                                                                      
  3.2000     0.0004     0.0485                                                                      
  3.2500     0.0003     0.0448                                                                      
  3.3000     0.0003     0.0414                                                                      
  3.3500     0.0003     0.0382                                                                      
  3.4000     0.0002     0.0353                                                                      
  3.4500     0.0002     0.0325                                                                      
  3.5000     0.0002     0.0300                                                                      
  3.5500     0.0002     0.0276                                                                      
  3.6000     0.0002     0.0254                                                                      
  3.6500     0.0001     0.0234                                                                      
  3.7000     0.0001     0.0215                                                                      
  3.7500     0.0001     0.0198                                                                      
  3.8000     0.0001     0.0182                                                                      
  3.8500     0.0001     0.0167                                                                      
  3.9000     0.0001     0.0154                                                                      
  3.9500     0.0001     0.0141                                                                      
  4.0000     0.0001     0.0129                                                                      
  4.0500     0.0001     0.0119                                                                      
  4.1000     0.0001     0.0109                                                                      
  4.1500     0.0000     0.0100                                                                      
  4.2000     0.0000     0.0091                                                                      
  4.2500     0.0000     0.0084                                                                      
  4.3000     0.0000     0.0077                                                                      
  4.3500     0.0000     0.0070                                                                      
  4.4000     0.0000     0.0064                                                                      
  4.4500     0.0000     0.0059                                                                      
  4.5000     0.0000     0.0054                                                                      
  4.5500     0.0000     0.0049                                                                      
  4.6000     0.0000     0.0045                                                                      
  4.6500     0.0000     0.0041                                                                      
  4.7000     0.0000     0.0038                                                                      
  4.7500     0.0000     0.0034                                                                      
  4.8000     0.0000     0.0031                                                                      
  4.8500     0.0000     0.0029                                                                      
       NPOINTS =       98                                                                           
Nelec (numeric) =   0.99835580                                                                      

  SCF Step    4                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  0.0500     0.3452     0.0108                                                                      
  0.1000     0.3214     0.0404                                                                      
  0.1500     0.2911     0.0823                                                                      
  0.2000     0.2612     0.1313                                                                      
  0.2500     0.2347     0.1844                                                                      
  0.3000     0.2116     0.2393                                                                      
  0.3500     0.1909     0.2938                                                                      
  0.4000     0.1720     0.3458                                                                      
  0.4500     0.1547     0.3935                                                                      
  0.5000     0.1389     0.4363                                                                      
  0.5500     0.1246     0.4738                                                                      
  0.6000     0.1119     0.5061                                                                      
  0.6500     0.1004     0.5332                                                                      
  0.7000     0.0902     0.5553                                                                      
  0.7500     0.0810     0.5724                                                                      
  0.8000     0.0727     0.5849                                                                      
  0.8500     0.0653     0.5928                                                                      
  0.9000     0.0586     0.5964                                                                      
  0.9500     0.0526     0.5961                                                                      
  1.0000     0.0471     0.5922                                                                      
  1.0500     0.0422     0.5853                                                                      
  1.1000     0.0379     0.5756                                                                      
  1.1500     0.0339     0.5637                                                                      
  1.2000     0.0304     0.5499                                                                      
  1.2500     0.0272     0.5346                                                                      
  1.3000     0.0244     0.5181                                                                      
  1.3500     0.0219     0.5006                                                                      
  1.4000     0.0196     0.4825                                                                      
  1.4500     0.0176     0.4638                                                                      
  1.5000     0.0157     0.4448                                                                      
  1.5500     0.0141     0.4256                                                                      
  1.6000     0.0126     0.4064                                                                      
  1.6500     0.0113     0.3873                                                                      
  1.7000     0.0101     0.3683                                                                      
  1.7500     0.0091     0.3497                                                                      
  1.8000     0.0081     0.3314                                                                      
  1.8500     0.0073     0.3135                                                                      
  1.9000     0.0065     0.2962                                                                      
  1.9500     0.0058     0.2794                                                                      
  2.0000     0.0052     0.2632                                                                      
  2.0500     0.0047     0.2476                                                                      
  2.1000     0.0042     0.2327                                                                      
  2.1500     0.0038     0.2184                                                                      
  2.2000     0.0034     0.2048                                                                      
  2.2500     0.0030     0.1919                                                                      
  2.3000     0.0027     0.1796                                                                      
  2.3500     0.0024     0.1680                                                                      
  2.4000     0.0022     0.1570                                                                      
  2.4500     0.0019     0.1466                                                                      
  2.5000     0.0017     0.1368                                                                      
  2.5500     0.0016     0.1276                                                                      
  2.6000     0.0014     0.1189                                                                      
  2.6500     0.0013     0.1107                                                                      
  2.7000     0.0011     0.1030                                                                      
  2.7500     0.0010     0.0958                                                                      
  2.8000     0.0009     0.0891                                                                      
  2.8500     0.0008     0.0827                                                                      
  2.9000     0.0007     0.0768                                                                      
  2.9500     0.0007     0.0712                                                                      
  3.0000     0.0006     0.0661                                                                      
  3.0500     0.0005     0.0612                                                                      
  3.1000     0.0005     0.0567                                                                      
  3.1500     0.0004     0.0525                                                                      
  3.2000     0.0004     0.0485                                                                      
  3.2500     0.0003     0.0448                                                                      
  3.3000     0.0003     0.0414                                                                      
  3.3500     0.0003     0.0383                                                                      
  3.4000     0.0002     0.0353                                                                      
  3.4500     0.0002     0.0326                                                                      
  3.5000     0.0002     0.0300                                                                      
  3.5500     0.0002     0.0276                                                                      
  3.6000     0.0002     0.0255                                                                      
  3.6500     0.0001     0.0234                                                                      
  3.7000     0.0001     0.0216                                                                      
  3.7500     0.0001     0.0198                                                                      
  3.8000     0.0001     0.0182                                                                      
  3.8500     0.0001     0.0167                                                                      
  3.9000     0.0001     0.0154                                                                      
  3.9500     0.0001     0.0141                                                                      
  4.0000     0.0001     0.0130                                                                      
  4.0500     0.0001     0.0119                                                                      
  4.1000     0.0001     0.0109                                                                      
  4.1500     0.0000     0.0100                                                                      
  4.2000     0.0000     0.0092                                                                      
  4.2500     0.0000     0.0084                                                                      
  4.3000     0.0000     0.0077                                                                      
  4.3500     0.0000     0.0070                                                                      
  4.4000     0.0000     0.0064                                                                      
  4.4500     0.0000     0.0059                                                                      
  4.5000     0.0000     0.0054                                                                      
  4.5500     0.0000     0.0049                                                                      
  4.6000     0.0000     0.0045                                                                      
  4.6500     0.0000     0.0041                                                                      
  4.7000     0.0000     0.0038                                                                      
  4.7500     0.0000     0.0034                                                                      
  4.8000     0.0000     0.0031                                                                      
  4.8500     0.0000     0.0029                                                                      
       NPOINTS =       98                                                                           
Nelec (numeric) =   0.99835385                                                                      

  SCF Step    5                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  0.0500     0.3452     0.0108                                                                      
  0.1000     0.3214     0.0404                                                                      
  0.1500     0.2911     0.0823                                                                      
  0.2000     0.2613     0.1313                                                                      
  0.2500     0.2347     0.1844                                                                      
  0.3000     0.2116     0.2393                                                                      
  0.3500     0.1909     0.2938                                                                      
  0.4000     0.1720     0.3458                                                                      
  0.4500     0.1547     0.3936                                                                      
  0.5000     0.1389     0.4363                                                                      
  0.5500     0.1246     0.4738                                                                      
  0.6000     0.1119     0.5061                                                                      
  0.6500     0.1004     0.5332                                                                      
  0.7000     0.0902     0.5553                                                                      
  0.7500     0.0810     0.5725                                                                      
  0.8000     0.0727     0.5849                                                                      
  0.8500     0.0653     0.5928                                                                      
  0.9000     0.0586     0.5964                                                                      
  0.9500     0.0526     0.5961                                                                      
  1.0000     0.0471     0.5922                                                                      
  1.0500     0.0422     0.5853                                                                      
  1.1000     0.0379     0.5756                                                                      
  1.1500     0.0339     0.5637                                                                      
  1.2000     0.0304     0.5499                                                                      
  1.2500     0.0272     0.5346                                                                      
  1.3000     0.0244     0.5181                                                                      
  1.3500     0.0219     0.5006                                                                      
  1.4000     0.0196     0.4825                                                                      
  1.4500     0.0176     0.4638                                                                      
  1.5000     0.0157     0.4448                                                                      
  1.5500     0.0141     0.4256                                                                      
  1.6000     0.0126     0.4064                                                                      
  1.6500     0.0113     0.3872                                                                      
  1.7000     0.0101     0.3683                                                                      
  1.7500     0.0091     0.3496                                                                      
  1.8000     0.0081     0.3314                                                                      
  1.8500     0.0073     0.3135                                                                      
  1.9000     0.0065     0.2962                                                                      
  1.9500     0.0058     0.2794                                                                      
  2.0000     0.0052     0.2632                                                                      
  2.0500     0.0047     0.2476                                                                      
  2.1000     0.0042     0.2327                                                                      
  2.1500     0.0038     0.2184                                                                      
  2.2000     0.0034     0.2048                                                                      
  2.2500     0.0030     0.1919                                                                      
  2.3000     0.0027     0.1796                                                                      
  2.3500     0.0024     0.1680                                                                      
  2.4000     0.0022     0.1570                                                                      
  2.4500     0.0019     0.1466                                                                      
  2.5000     0.0017     0.1368                                                                      
  2.5500     0.0016     0.1276                                                                      
  2.6000     0.0014     0.1189                                                                      
  2.6500     0.0013     0.1107                                                                      
  2.7000     0.0011     0.1030                                                                      
  2.7500     0.0010     0.0958                                                                      
  2.8000     0.0009     0.0891                                                                      
  2.8500     0.0008     0.0827                                                                      
  2.9000     0.0007     0.0768                                                                      
  2.9500     0.0007     0.0712                                                                      
  3.0000     0.0006     0.0661                                                                      
  3.0500     0.0005     0.0612                                                                      
  3.1000     0.0005     0.0567                                                                      
  3.1500     0.0004     0.0525                                                                      
  3.2000     0.0004     0.0485                                                                      
  3.2500     0.0003     0.0448                                                                      
  3.3000     0.0003     0.0414                                                                      
  3.3500     0.0003     0.0383                                                                      
  3.4000     0.0002     0.0353                                                                      
  3.4500     0.0002     0.0326                                                                      
  3.5000     0.0002     0.0300                                                                      
  3.5500     0.0002     0.0276                                                                      
  3.6000     0.0002     0.0255                                                                      
  3.6500     0.0001     0.0234                                                                      
  3.7000     0.0001     0.0216                                                                      
  3.7500     0.0001     0.0198                                                                      
  3.8000     0.0001     0.0182                                                                      
  3.8500     0.0001     0.0167                                                                      
  3.9000     0.0001     0.0154                                                                      
  3.9500     0.0001     0.0141                                                                      
  4.0000     0.0001     0.0130                                                                      
  4.0500     0.0001     0.0119                                                                      
  4.1000     0.0001     0.0109                                                                      
  4.1500     0.0000     0.0100                                                                      
  4.2000     0.0000     0.0092                                                                      
  4.2500     0.0000     0.0084                                                                      
  4.3000     0.0000     0.0077                                                                      
  4.3500     0.0000     0.0070                                                                      
  4.4000     0.0000     0.0064                                                                      
  4.4500     0.0000     0.0059                                                                      
  4.5000     0.0000     0.0054                                                                      
  4.5500     0.0000     0.0049                                                                      
  4.6000     0.0000     0.0045                                                                      
  4.6500     0.0000     0.0041                                                                      
  4.7000     0.0000     0.0038                                                                      
  4.7500     0.0000     0.0034                                                                      
  4.8000     0.0000     0.0031                                                                      
  4.8500     0.0000     0.0029                                                                      
       NPOINTS =       98                                                                           
Nelec (numeric) =   0.99835367                                                                      

  SCF Step    6                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  0.0500     0.3452     0.0108                                                                      
  0.1000     0.3214     0.0404                                                                      
  0.1500     0.2911     0.0823                                                                      
  0.2000     0.2613     0.1313                                                                      
  0.2500     0.2347     0.1844                                                                      
  0.3000     0.2116     0.2393                                                                      
  0.3500     0.1909     0.2938                                                                      
  0.4000     0.1720     0.3458                                                                      
  0.4500     0.1547     0.3936                                                                      
  0.5000     0.1389     0.4363                                                                      
  0.5500     0.1246     0.4738                                                                      
  0.6000     0.1119     0.5061                                                                      
  0.6500     0.1004     0.5332                                                                      
  0.7000     0.0902     0.5553                                                                      
  0.7500     0.0810     0.5725                                                                      
  0.8000     0.0727     0.5849                                                                      
  0.8500     0.0653     0.5928                                                                      
  0.9000     0.0586     0.5964                                                                      
  0.9500     0.0526     0.5961                                                                      
  1.0000     0.0471     0.5922                                                                      
  1.0500     0.0422     0.5853                                                                      
  1.1000     0.0379     0.5756                                                                      
  1.1500     0.0339     0.5637                                                                      
  1.2000     0.0304     0.5499                                                                      
  1.2500     0.0272     0.5346                                                                      
  1.3000     0.0244     0.5181                                                                      
  1.3500     0.0219     0.5006                                                                      
  1.4000     0.0196     0.4825                                                                      
  1.4500     0.0176     0.4638                                                                      
  1.5000     0.0157     0.4448                                                                      
  1.5500     0.0141     0.4256                                                                      
  1.6000     0.0126     0.4064                                                                      
  1.6500     0.0113     0.3872                                                                      
  1.7000     0.0101     0.3683                                                                      
  1.7500     0.0091     0.3496                                                                      
  1.8000     0.0081     0.3314                                                                      
  1.8500     0.0073     0.3135                                                                      
  1.9000     0.0065     0.2962                                                                      
  1.9500     0.0058     0.2794                                                                      
  2.0000     0.0052     0.2632                                                                      
  2.0500     0.0047     0.2476                                                                      
  2.1000     0.0042     0.2327                                                                      
  2.1500     0.0038     0.2184                                                                      
  2.2000     0.0034     0.2048                                                                      
  2.2500     0.0030     0.1919                                                                      
  2.3000     0.0027     0.1796                                                                      
  2.3500     0.0024     0.1680                                                                      
  2.4000     0.0022     0.1570                                                                      
  2.4500     0.0019     0.1466                                                                      
  2.5000     0.0017     0.1368                                                                      
  2.5500     0.0016     0.1276                                                                      
  2.6000     0.0014     0.1189                                                                      
  2.6500     0.0013     0.1107                                                                      
  2.7000     0.0011     0.1030                                                                      
  2.7500     0.0010     0.0958                                                                      
  2.8000     0.0009     0.0891                                                                      
  2.8500     0.0008     0.0827                                                                      
  2.9000     0.0007     0.0768                                                                      
  2.9500     0.0007     0.0712                                                                      
  3.0000     0.0006     0.0661                                                                      
  3.0500     0.0005     0.0612                                                                      
  3.1000     0.0005     0.0567                                                                      
  3.1500     0.0004     0.0525                                                                      
  3.2000     0.0004     0.0485                                                                      
  3.2500     0.0003     0.0448                                                                      
  3.3000     0.0003     0.0414                                                                      
  3.3500     0.0003     0.0383                                                                      
  3.4000     0.0002     0.0353                                                                      
  3.4500     0.0002     0.0326                                                                      
  3.5000     0.0002     0.0300                                                                      
  3.5500     0.0002     0.0276                                                                      
  3.6000     0.0002     0.0255                                                                      
  3.6500     0.0001     0.0234                                                                      
  3.7000     0.0001     0.0216                                                                      
  3.7500     0.0001     0.0198                                                                      
  3.8000     0.0001     0.0182                                                                      
  3.8500     0.0001     0.0167                                                                      
  3.9000     0.0001     0.0154                                                                      
  3.9500     0.0001     0.0141                                                                      
  4.0000     0.0001     0.0130                                                                      
  4.0500     0.0001     0.0119                                                                      
  4.1000     0.0001     0.0109                                                                      
  4.1500     0.0000     0.0100                                                                      
  4.2000     0.0000     0.0092                                                                      
  4.2500     0.0000     0.0084                                                                      
  4.3000     0.0000     0.0077                                                                      
  4.3500     0.0000     0.0070                                                                      
  4.4000     0.0000     0.0064                                                                      
  4.4500     0.0000     0.0059                                                                      
  4.5000     0.0000     0.0054                                                                      
  4.5500     0.0000     0.0049                                                                      
  4.6000     0.0000     0.0045                                                                      
  4.6500     0.0000     0.0041                                                                      
  4.7000     0.0000     0.0038                                                                      
  4.7500     0.0000     0.0034                                                                      
  4.8000     0.0000     0.0031                                                                      
  4.8500     0.0000     0.0029                                                                      
       NPOINTS =       98                                                                           
Nelec (numeric) =   0.99835365                                                                      

