  SCF Step    1                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  2.2500     0.0041     0.2632                                                                      
  2.3000     0.0038     0.2539                                                                      
  2.3500     0.0035     0.2448                                                                      
  2.4000     0.0033     0.2358                                                                      
  2.4500     0.0030     0.2271                                                                      
  2.5000     0.0028     0.2186                                                                      
  2.5500     0.0026     0.2102                                                                      
  2.6000     0.0024     0.2021                                                                      
  2.6500     0.0022     0.1942                                                                      
  2.7000     0.0020     0.1864                                                                      
  2.7500     0.0019     0.1789                                                                      
  2.8000     0.0017     0.1715                                                                      
  2.8500     0.0016     0.1643                                                                      
  2.9000     0.0015     0.1574                                                                      
  2.9500     0.0014     0.1506                                                                      
  3.0000     0.0013     0.1439                                                                      
  3.0500     0.0012     0.1375                                                                      
  3.1000     0.0011     0.1312                                                                      
  3.1500     0.0010     0.1252                                                                      
  3.2000     0.0009     0.1193                                                                      
  3.2500     0.0009     0.1136                                                                      
  3.3000     0.0008     0.1080                                                                      
  3.3500     0.0007     0.1027                                                                      
  3.4000     0.0007     0.0975                                                                      
  3.4500     0.0006     0.0925                                                                      
  3.5000     0.0006     0.0877                                                                      
  3.5500     0.0005     0.0830                                                                      
  3.6000     0.0005     0.0785                                                                      
  3.6500     0.0004     0.0742                                                                      
  3.7000     0.0004     0.0701                                                                      
  3.7500     0.0004     0.0661                                                                      
  3.8000     0.0003     0.0623                                                                      
  3.8500     0.0003     0.0587                                                                      
  3.9000     0.0003     0.0552                                                                      
  3.9500     0.0003     0.0519                                                                      
  4.0000     0.0002     0.0487                                                                      
  4.0500     0.0002     0.0457                                                                      
  4.1000     0.0002     0.0428                                                                      
  4.1500     0.0002     0.0401                                                                      
  4.2000     0.0002     0.0375                                                                      
  4.2500     0.0002     0.0351                                                                      
  4.3000     0.0001     0.0327                                                                      
  4.3500     0.0001     0.0305                                                                      
  4.4000     0.0001     0.0284                                                                      
  4.4500     0.0001     0.0265                                                                      
  4.5000     0.0001     0.0246                                                                      
  4.5500     0.0001     0.0229                                                                      
  4.6000     0.0001     0.0212                                                                      
  4.6500     0.0001     0.0197                                                                      
  4.7000     0.0001     0.0182                                                                      
  4.7500     0.0001     0.0169                                                                      
  4.8000     0.0001     0.0156                                                                      
  4.8500     0.0000     0.0144                                                                      
  4.9000     0.0000     0.0133                                                                      
  4.9500     0.0000     0.0123                                                                      
  5.0000     0.0000     0.0113                                                                      
  5.0500     0.0000     0.0104                                                                      
  5.1000     0.0000     0.0095                                                                      
  5.1500     0.0000     0.0088                                                                      
  5.2000     0.0000     0.0080                                                                      
  5.2500     0.0000     0.0074                                                                      
  5.3000     0.0000     0.0067                                                                      
  5.3500     0.0000     0.0061                                                                      
  5.4000     0.0000     0.0056                                                                      
  5.4500     0.0000     0.0051                                                                      
  5.5000     0.0000     0.0047                                                                      
  5.5500     0.0000     0.0042                                                                      
  5.6000     0.0000     0.0039                                                                      
       NPOINTS =      113                                                                           
Nelec (numeric) =   0.99817771                                                                      

  SCF Step    3                                                                                     
  r(a.u.)    Density   radDensity                                                                   
  0.0500     0.2289     0.0072                                                                      
  0.1000     0.2136     0.0268                                                                      
  0.1500     0.1940     0.0549                                                                      
  0.2000     0.1748     0.0879                                                                      
  0.2500     0.1577     0.1239                                                                      
  0.3000     0.1429     0.1616                                                                      
  0.3500     0.1296     0.1996                                                                      
  0.4000     0.1176     0.2364                                                                      
  0.4500     0.1066     0.2712                                                                      
  0.5000     0.0965     0.3033                                                                      
  0.5500     0.0875     0.3325                                                                      
  0.6000     0.0793     0.3589                                                                      
  0.6500     0.0720     0.3825                                                                      
  0.7000     0.0655     0.4032                                                                      
  0.7500     0.0596     0.4210                                                                      
  0.8000     0.0542     0.4360                                                                      
  0.8500     0.0494     0.4481                                                                      
  0.9000     0.0449     0.4574                                                                      
  0.9500     0.0409     0.4641                                                                      
  1.0000     0.0373     0.4682                                                                      
  1.0500     0.0339     0.4701                                                                      
  1.1000     0.0309     0.4698                                                                      
  1.1500     0.0281     0.4678                                                                      
  1.2000     0.0256     0.4641                                                                      
  1.2500     0.0234     0.4590                                                                      
  1.3000     0.0213     0.4527                                                                      
  1.3500     0.0194     0.4453                                                                      
  1.4000     0.0177     0.4371                                                                      
  1.4500     0.0162     0.4281                                                                      
  1.5000     0.0148     0.4185                                                                      
  1.5500     0.0135     0.4083                                                                      
  1.6000     0.0124     0.3978                                                                      
  1.6500     0.0113     0.3869                                                                      
  1.7000     0.0103     0.3758                                                                      
  1.7500     0.0095     0.3645                                                                      
  1.8000     0.0087     0.3531                                                                      
  1.8500     0.0079     0.3417                                                                      
  1.9000     0.0073     0.3303                                                                      
  1.9500     0.0067     0.3190                                                                      
  2.0000     0.0061     0.3078                                                                      
  2.0500     0.0056     0.2968                                                                      
  2.1000     0.0052     0.2859                                                                      
  2.1500     0.0047     0.2753                                                                      
  2.2000     0.0044     0.2648                                                                      
  2.2500     0.0040     0.2547                                                                      
  2.3000     0.0037     0.2447                                                                      
  2.3500     0.0034     0.2350                                                                      
  2.4000     0.0031     0.2256                                                                      
  2.4500     0.0029     0.2165                                                                      
  2.5000     0.0026     0.2075                                                                      
  2.5500     0.0024     0.1989                                                                      
  2.6000     0.0022     0.1905                                                                      
  2.6500     0.0021     0.1824                                                                      
  2.7000     0.0019     0.1745                                                                      
  2.7500     0.0018     0.1668                                                                      
  2.8000     0.0016     0.1594                                                                      
  2.8500     0.0015     0.1522                                                                      
  2.9000     0.0014     0.1452                                                                      
  2.9500     0.0013     0.1385                                                                      
  3.0000     0.0012     0.1319                                                                      
  3.0500     0.0011     0.1256                                                                      
  3.1000     0.0010     0.1195                                                                      
  3.1500     0.0009     0.1136                                                                      
  3.2000     0.0008     0.1079                                                                      
  3.2500     0.0008     0.1025                                                                      
  3.3000     0.0007     0.0972                                                                      
  3.3500     0.0007     0.0921                                                                      
  3.4000     0.0006     0.0872                                                                      
  3.4500     0.0006     0.0825                                                                      
  3.5000     0.0005     0.0780                                                                      
  3.5500     0.0005     0.0736                                                                      
  3.6000     0.0004     0.0695                                                                      
  3.6500     0.0004     0.0655                                                                      
  3.7000     0.0004     0.0617                                                                      
  3.7500     0.0003     0.0581                                                                      
  3.8000     0.0003     0.0546                                                                      
  3.8500     0.0003     0.0513                                                                      
  3.9000     0.0003     0.0482                                                                      
  3.9500     0.0002     0.0452                                                                      
  4.0000     0.0002     0.0424                                                                      
  4.0500     0.0002     0.0397                                                                      
  4.1000     0.0002     0.0371                                                                      
  4.1500     0.0002     0.0347                                                                      
  4.2000     0.0001     0.0324                                                                      
  4.2500     0.0001     0.0302                                                                      
  4.3000     0.0001     0.0282                                                                      
  4.3500     0.0001     0.0262                                                                      
  4.4000     0.0001     0.0244                                                                      
  4.4500     0.0001     0.0227                                                                      
  4.5000     0.0001     0.0211                                                                      
  4.5500     0.0001     0.0195                                                                      
  4.6000     0.0001     0.0181                                                                      
  4.6500     0.0001     0.0168                                                                      
  4.7000     0.0001     0.0155                                                                      
  4.7500     0.0001     0.0144                                                                      
  4.8000     0.0000     0.0133                                                                      
  4.8500     0.0000     0.0122                                                                      
  4.9000     0.0000     0.0113                                                                      
